Country Name,year,Access to electricity (% of population),CO2 emissions (metric tons per capita),GDP (constant 2015 US$)
Argentina,2016 [YR2016],99.8495788574219,4.20184577616112,582376550428.09
Argentina,2017 [YR2017],100.0,4.07130836193664,598790850843.677
Argentina,2018 [YR2018],99.9895782470703,3.97577197057929,583118120294.002
Argentina,2019 [YR2019],100.0,3.74065029063396,571304530654.919
Argentina,2020 [YR2020],100.0,,514772410744.886
Bolivia,2016 [YR2016],91.8000030517578,1.99513736070812,34407300587.1524
Bolivia,2017 [YR2017],91.8000030517578,2.03254701906654,35850757840.6068
Bolivia,2018 [YR2018],92.8000030517578,2.04612992900962,37364958928.4415
Bolivia,2019 [YR2019],95.0800018310547,1.94039800503704,38193230080.2463
Bolivia,2020 [YR2020],97.5541229248047,,34855949803.3644
Brazil,2016 [YR2016],99.6999969482422,2.16857469639112,1743173031958.05
Brazil,2017 [YR2017],99.8000030517578,2.19641817319378,1766232928553.89
Brazil,2018 [YR2018],99.6999969482422,2.07185467654344,1797736638228.88
Brazil,2019 [YR2019],99.8000030517578,2.05781083913756,1819683008419.28
Brazil,2020 [YR2020],100.0,,1749103394213.21
Chile,2016 [YR2016],100.0,4.74983007721478,246747710111.593
Chile,2017 [YR2017],99.6999969482422,4.71401998354799,250097792355.986
Chile,2018 [YR2018],100.0,4.624338350696,260076767994.429
Chile,2019 [YR2019],100.0,4.82111829925293,262080762440.351
Chile,2020 [YR2020],100.0,,246412987238.941
Ecuador,2016 [YR2016],98.6999969482422,2.41402712668391,98072699669.1292
Ecuador,2017 [YR2017],99.1999969482422,2.29664472037772,100395440274.107
Ecuador,2018 [YR2018],98.6999969482422,2.34951743812269,101689830586.566
Ecuador,2019 [YR2019],99.0899963378906,2.26146981694915,101702140245.144
Ecuador,2020 [YR2020],98.8499984741211,,93781977159.7812
Paraguay,2016 [YR2016],98.4000015258789,1.05932857279795,37756883444.301
Paraguay,2017 [YR2017],99.3000030517578,1.17371957825559,39573019311.3664
Paraguay,2018 [YR2018],99.5999984741211,1.21764178403475,40841037917.5024
Paraguay,2019 [YR2019],99.6999969482422,1.16542523160477,40676916123.4603
Paraguay,2020 [YR2020],100.0,,40343452707.5908
Peru,2016 [YR2016],94.1999969482422,1.83858030205849,197308909322.23
Peru,2017 [YR2017],94.8000030517578,1.72590905772025,202278796061.116
Peru,2018 [YR2018],95.1999969482422,1.70650998554008,210307952165.865
Peru,2019 [YR2019],95.5513610839844,1.74559192668502,215020178954.302
Peru,2020 [YR2020],99.3118133544922,,191469666109.311
Uruguay,2016 [YR2016],99.6999969482422,1.90412830230505,54174532436.9212
Uruguay,2017 [YR2017],99.8000030517578,1.77498691445656,55056360541.1392
Uruguay,2018 [YR2018],99.8000030517578,1.89604236287846,55319478843.3587
Uruguay,2019 [YR2019],99.9000015258789,1.87478454308499,55513344382.0673
Uruguay,2020 [YR2020],100.0,,52115108174.7165
