"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.8768615722656","","98.7951812744141","95.7712097167969","95.0455017089844","95.5102233886719","","94.6958084106445","87.9873733520508","97.2314834594727","","","","","99.6061096191406","","","","","","","85.2162322998047","","","","",
"Africa Eastern and Southern","AFE","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","54.1739692687988","54.6973609924316","57.3793296813965","57.434871673584","55.5789184570312","56.8400688171387","57.5133781433105","56.0991706848145","56.5589790344238","55.6972808837891","54.8564109802246","56.5959815979004","56.3144798278809","56.0182685852051","57.7046508789062","57.4462699890137","56.5878601074219","56.280689239502","56.8456916809082","57.3099899291992","56.8440208435059","58.463939666748","56.4387588500977","54.9769515991211","55.3173408508301","53.2583694458008","53.0657806396484","53.569709777832","52.8263893127441","55.397518157959","58.2971801757812","57.3474197387695","54.9709014892578","58.1132316589355","58.4156684875488","58.8187789916992","58.0382499694824","56.1205291748047","53.3060302734375","51.7980690002441","54.7909889221191","53.2315483093262","54.1028900146484","55.356559753418","57.6107788085938","58.3635787963867","58.347339630127","59.9050598144531","60.1293907165527","61.3762397766113","61.1602783203125","","","",
"Afghanistan","AFG","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","47.7789497375488","","","73.9255218505859","77.648681640625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","73.0406875610352","72.8673706054688","73.8956527709961","75.1711196899414","77.1071624755859","76.5767364501953","77.7574462890625","78.7923126220703","78.4927062988281","78.9278335571289","79.2976226806641","79.3315582275391","78.0442123413086","78.4385070800781","77.4504318237305","78.2194900512695","77.7057113647461","78.044792175293","76.7165603637695","77.3066864013672","76.5716705322266","76.5414199829102","77.2125015258789","76.6058807373047","75.9775695800781","76.3671798706055","76.3509826660156","76.4288635253906","75.53173828125","75.5665893554688","74.2591018676758","71.0271224975586","69.7485961914062","66.9587478637695","70.0405120849609","55.7529411315918","53.6034698486328","68.8583221435547","62.8951683044434","63.4145698547363","64.4037017822266","63.8930015563965","64.5561294555664","64.6137390136719","63.5511016845703","61.3674201965332","62.900520324707","64.2200927734375","65.1266632080078","65.6683502197266","64.6243362426758","63.9894599914551","","",
"Angola","AGO","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.7305793762207","26.8638496398926","","","","","","","","","","","","","","","",
"Albania","ALB","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.1693420410156","","","","","93.4321899414062","","","91.2317504882812","","","95.3582534790039","93.3642578125","94.3882522583008","95.4425582885742","97.8855972290039","99.1443328857422","99.837272644043","99.1460571289062","96.3899307250977","89.0525665283203","93.6810913085938","93.2599334716797","88.6329116821289","90.0643081665039","92.0852432250977","91.8866500854492","85.7518463134766","","",
"Andorra","AND","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.3479537963867","","","70.1483688354492","","","","","","","","",
"Arab World","ARB","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","71.1408767700195","72.4244537353516","72.2462005615234","72.5497894287109","73.9933395385742","73.6705932617188","74.2555618286133","73.2749328613281","74.8554000854492","75.6986999511719","77.2416610717773","77.6800994873047","78.8640518188477","79.4559631347656","81.3301696777344","81.5679092407227","82.2323226928711","79.1011962890625","80.7544479370117","81.5287628173828","81.5614166259766","81.9240188598633","82.4846725463867","81.9821014404297","82.0681915283203","82.151008605957","81.5312728881836","81.8952331542969","82.2849273681641","82.1912384033203","81.3506698608398","81.6594085693359","80.8056335449219","79.4176483154297","79.0103073120117","80.457893371582","81.0775299072266","81.7834091186523","83.2920989990234","83.4796524047852","83.6990127563477","75.2567977905273","76.3292083740234","77.0974426269531","80.7112121582031","81.7595672607422","82.4675598144531","82.6850204467773","83.2258682250977","83.1635131835938","85.2111511230469","","","",
"United Arab Emirates","ARE","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","","91.1453399658203","89.3294830322266","","","","94.7514572143555","88.2631912231445","79.7286376953125","88.9076309204102","86.2466888427734","89.7969512939453","94.6537628173828","95.400146484375","94.8803329467773","75.1151962280273","86.7325210571289","95.4033508300781","95.9221878051758","78.6124496459961","80.2212524414062","92.343391418457","96.2719116210938","89.0312423706055","94.3102569580078","94.582893371582","","94.7961883544922","95.5428695678711","98.8541030883789","96.6822128295898","","","","84.3422393798828","","93.1748123168945","","","","","","","","","","","","",
"Argentina","ARG","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","66.8444595336914","","","","65.6191024780273","68.0307464599609","","","","","","","","","","","","","","","","","","","","","","","88.1160278320312","92.610969543457","90.3965225219727","89.0453109741211","79.2865371704102","92.8492126464844","85.6763687133789","93.1074905395508","94.3880233764648","96.0604095458984","92.9204788208008","93.8125686645508","93.1348571777344","95.1008834838867","94.1720581054688","96.1908187866211","95.5563735961914","97.9065628051758","94.1917495727539","94.4696273803711","93.861930847168","95.5229263305664","96.7330322265625","95.2829284667969","","","",
